3-Letter ID,Call Sign,Country
AVF,AVES FLIGHT,Mexico
AVH,KENT HELI,United Kingdom
AVJ,ATOMIC,Kyrgyzstan
AVK,AVIATE-COPTER,South Africa
AVL,SKY VENTURES,United States
AVM,AVEMEX,Mexico
AVN,AIR VAN,Vanuatu
AVO,AVIATION WORK,South Africa
AVP,AVIA PUEBLA,Mexico
AVQ,AVIC,South Africa
AVR,AVAEXPRESS,Colombia
AVS,AVIALSA,Spain
AVV,WING MAN,Egypt
AVW,AVIRO,Romania
AVY,AEROVARADERO,Cuba
AVZ,AIR VALENCIA,Spain
AWA,CAPELLA,Bangladesh
AWC,ZAP,United Kingdom
AWG,ANIMA WINGS,Romania
AWH,AEROWEST,Germany
AWI,WISCONSIN,United States
AWJ,SAHEL AIRLINES,Niger
AWK,AIRWORK,New Zealand
AWM,ASIAN STAR,Myanmar
AWN,AIR NIAMEY,Niger
AWQ,WAGON AIR,Indonesia
AWS,ARAB WINGS,Jordan
AWT,ALBAWINGS,Albania
AWU,SYLT AIR,Germany
AWW,AWA,Iran
AWX,ALLWEATHER,United Kingdom
AWY,RED KITE,United Kingdom
AXA,AMIRA,Austria
AXB,EXPRESS INDIA,India
AXC,AIRSPUP,Vietnam
AXD,AIR SUDEX,Sudan
AXE,GALILEO,Slovakia
AXG,FORTUNE,Germany
AXH,SERVAY,Venezuela
AXJ,ALEX JET,San Marino
AXK,EXPRESS JET,Kenya
AXL,ANGUILLA,United Kingdom
AXM,RED CAP,Malaysia
AXO,AXIO,United States
AXP,AEROMAX SPAIN,Spain
AXQ,ACTION AIR,United States
AXS,AXIS,San Marino
AXT,AXTRANSPORTER,Mexico
AXV,AVA,Iran
AXY,LEGEND,Malta
AYA,ACADEMY AIR,United States
AYE,AIR YING AN,China
AYG,ASTRA,Malaysia
AYH,ANDES,Ecuador
AYJ,ALLEY JET,Germany
AYL,ALPINE NEPAL,Nepal
AYM,AIRMAN,Spain
AYN,ARYSTAN,Kazakhstan
AYR,CYGNET,Spain
AYT,AYIT,Israel
AYV,CARGWAY,Venezuela
AZA,ALITALIA,Italy
AZB,AIR ZAMBIA,Zambia
AZD,MAILMAN,Austria
AZE,ARCUS AIR,Germany
AZF,AIR ZERMATT,Switzerland
AZG,SILK WEST,Azerbaijan
AZH,HELIAZE,Azerbaijan
AZI,GREEK STAR,Greece
AZM,AZMAN AIR,Nigeria
AZN,AMAZONAS,Bolivia
AZO,AZIMUTH-DON,Russia
AZP,GUARANI,Paraguay
AZQ,SILK LINE,Azerbaijan
AZR,ZENAIR,South Africa
AZS,ZITOTRANS,Russia
AZT,AZIMUT,Spain
AZU,AZUL,Brazil
AZV,AZUR AIR,Russia
AZW,AIR ZIMBABWE,Zimbabwe
AZX,AZIMA,Gabon
AZY,AZTEC WORLD,United States
AZZ,AZZA TRANSPORT,Sudan
BAA,BALKAN AGRO,Bulgaria
BAB,BAHRAIN AIR,Bahrain
BAD,BADLANDS,United States
BAF,BELGIAN AIRFORCE,Belgium
BAG,BIRDBASE,Austria
BAH,BAHRAIN,Bahrain
BAI,BONITO AIR,Mexico
BAJ,BAKER AVIATION,United States
BAK,BLACKHAWK,United States
BAL,BALMORAL,South Africa
BAN,PENGUIN,United Kingdom
BAO,AVANGARD,Germany
BAP,BIG APPLE,United States
BAQ,LAT CARGO,Latvia
BAR,BARAKAH,United Arab Emirates
BAS,AEROSERV,Barbados
BAT,GHERKIN,United Kingdom
BAV,BAMBOO,Vietnam
BAW,SPEEDBIRD,United Kingdom
BBA,BOMBARDIER,Canada
BBB,BLACKBIRD,Denmark
BBC,BANGLADESH,Bangladesh
BBE,BABEL AIR,Sudan
BBG,CANDIA BIRD,Greece
BBI,SKY NET,Nigeria
BBJ,BLUE KOREA,South Korea
BBK,BABAK,Kazakhstan
BBL,IRON BIRD,Indonesia
BBN,BRABAZON,United Kingdom
BBO,BABCOCK,Portugal
BBQ,EASTERN EXPRESS,United States
BBR,SANTA BARBARA,Venezuela
BBT,BIG BLUE,Turkey
BBW,BEEBEE AIRWAYS,Nepal
BBX,BLUEBEL,Denmark
BBY,YEMEN BLUE,Yemen
BBZ,COBRA,Kenya
BCA,BLUE SKY MONGOLIA,Mongolia
BCB,WAVEBIRD,Barbados
BCF,BACH,Austria
BCG,BELGIAN COASTGUARD,Belgium
BCH,BEACHBALL,United States
BCI,BLUE ISLAND,United Kingdom
BCJ,BLUE BOY,Poland
BCK,BANKCHECK,United States
BCN,BLUE OCEAN,Mauritania
BCO,BELUGA CARGO,France
BCP,SYBAJET,San Marino
BCR,BACKER,United Kingdom
BCS,POSTMAN,Germany
BCU,BACAIR,United States
BCV,MORABEST,Cape Verde
BCY,CITY-IRELAND,Ireland
BDA,BLUE DART,India
BDF,BORDER FORCE,Australia
BDG,BULLDOG,United States
BDI,BIRDIE,Denmark
BDJ,CROWN JET,China
BDN,GAUNTLET,United Kingdom
BDR,BADR AIR,Sudan
BDS,SOUTH ASIAN,Bangladesh
BDV,ABERDAV,Kenya
BDX,SKY PUSHER,Bahamas
BEA,BELLAGIO AIR,Nigeria
BEE,JERSEY,United Kingdom
BEF,BALEAR EXPRESS,Spain
BEG,BULGARIAN EAGLE,Bulgaria
BEJ,BEEJET,France
